book_id,search_key,book_title,book_subtitle,book_authors,book_description,industryIdentifiers,text_readingModes,image_readingModes,pageCount,categories,language,imageLinks,ratingsCount,averageRating,country,saleability,isEbook,amount_listPrice,currencyCode_listPrice,amount_retailPrice,currencyCode_retailPrice,buyLink,year,publisher
a8616965-625b-41a0-bda2-4246eb34c541,fiction,The Master of Dreams,N/A,Mike Resnick,"Now in paperback, opening a new fantasy trilogy from a Hugo award winning author, this novel offers an adventure through space and time as Eddie Raven tries to outrun the dark forces pursuing him. Eddie Raven isn't quite sure what's happening to him--and he's in a race to find out before it kills him. His adventures begin with a shooting in a very strange shop in Manhattan--but soon he finds himself the owner of a very familiar bar in Casablanca. By the time he adjusts to that reality, he's suddenly become one of several undersized people helping a young woman search for a wizard. And after confronting the wizard, he somehow finds himself in Camelot. But as he rushes to solve the mystery of his many appearances, a larger threat looms. Because someone or something is stalking him through time and space with deadly intent....","9780756413859, 0756413850",True,False,0,Fiction,en,http://books.google.com/books/content?id=dNqOEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=dNqOEAAAQBAJ&dq=fiction&hl=&source=gbs_api,2020,National Geographic Books
e7cb21f0-93f4-4ccc-86ad-ce04dd943814,fiction,Jet,N/A,Unknown Author,The weekly source of African American political and entertainment news.,,False,True,64,N/A,en,http://books.google.com/books/content?id=_sEDAAAAMBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=_sEDAAAAMBAJ&dq=fiction&hl=&source=gbs_api,1994,N/A
7b5e2d06-47fb-4d7d-8f74-ec6eed2784b5,fiction,The Tomb,N/A,Howard Phillips Lovecraft,"Howard Phillips Lovecraft was an American author of fantasy, horror and science fiction.He is notable for blending elements of science fiction and horror; and for popularizing ""cosmic horror"" the notion that some concepts, entities or experiences are barely comprehensible to human minds, and those who delve into such risk their sanity. Lovecraft has become a cult figure in the horror genre and is noted as creator of the ""Cthulhu Mythos,"" a series of loosely interconnected fictions featuring a ""pantheon"" of nonhuman creatures, as well as the famed Necronomicon, a grimoire of magical rites and forbidden lore. His works typically had a tone of ""cosmic pessimism,"" regarding mankind as insignificant and powerless in the universe.Lovecraft's readership was limited during his life, and his works, particularly early in his career, have been criticized as occasionally ponderous, and for their uneven quality. Nevertheless, Lovecraft's reputation has grown tremendously over the decades, and he is now commonly regarded as one of the most important horror writers of the 20th Century, exerting an influence that is widespread, though often indirect.","1095618776, 9781095618776",False,False,42,N/A,en,http://books.google.com/books/content?id=gSmqxAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=gSmqxAEACAAJ&dq=fiction&hl=&source=gbs_api,2019,Independently Published
a6edaff0-b9d5-4f64-ac72-8d3283903a18,fiction,Naked,N/A,Megan Hart,"No strings...no regrets...and no going back. I didn't think he wanted me. And I wasn't about to get involved with him, not after what I'd heard. Alex Kennedy was tall, dark and unbearably hot, but I've been burned before. Maybe it was stupid of me to offer, but he needed a place to crash and I needed to pay the rent. But now he's my tenant...with benefits. Now that we've crossed that line, I can't seem to find my way back. Except I can't give my heart to a man who's so...unconventional. His last relationship was with a married couple. It's enough that my ex–fiancé preferred men – I won't take that chance again no matter how much my body thrives on Alex's touch. I can't risk it, but I can't resist it, either. Alex can be very convincing when he wants something. And he wants me. 'A sizzling read.' RT Book Reviews","9781743645222, 1743645228",True,False,229,Fiction,en,http://books.google.com/books/content?id=waanAAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=waanAAAAQBAJ&dq=fiction&hl=&source=gbs_api,2013,HarperCollins Australia
f9e9a0fd-ba1e-411b-82c7-47ee286ffe01,fiction,A Personal Record,N/A,Joseph Conrad,"Books may be written in all sorts of places. Verbal inspiration may enter the berth of a mariner on board a ship frozen fast in a river in the middle of a town; and since saints are supposed to look benignantly on humble believers, I indulge in the pleasant fancy that the shade of old Flaubert--who imagined himself to be (among other things) a descendant of Vikings--might have hovered with amused interest over the docks of a 2,000-ton steamer called the Adowa, on board of which, gripped by the inclement winter alongside a quay in Rouen, the tenth chapter of ""Almayer's Folly"" was begun. With interest, I say, for was not the kind Norman giant with enormous mustaches and a thundering voice the last of the Romantics? Was he not, in his unworldly, almost ascetic, devotion to his art, a sort of literary, saint-like hermit?""'It has set at last,' said Nina to her mother, pointing to the hills behind which the sun had sunk."" . . . These words of Almayer's romantic daughter I remember tracing on the gray paper of a pad which rested on the blanket of my bed-place. They referred to a sunset in Malayan Isles and shaped themselves in my mind, in a hallucinated vision of forests and rivers and seas, far removed from a commercial and yet romantic town of the northern hemisphere. But at that moment the mood of visions and words was cut short by the third officer, a cheerful and casual youth, coming in with a bang of the door and the exclamation: ""You've made it jolly warm in here.""It was warm. I had turned on the steam heater after placing a tin under the leaky water-cock--for perhaps you do not know that water will leak where steam will not. I am not aware of what my young friend had been doing on deck all that morning, but the hands he rubbed together vigorously were very red and imparted to me a chilly feeling by their mere aspect. He has remained the only banjoist of my acquaintance, and being also a younger son of a retired colonel, the poem of Mr. Kipling, by a strange aberration of associated ideas, always seems to me to have been written with an exclusive view to his person. When he did not play the banjo he loved to sit and look at it. He proceeded to this sentimental inspection, and after meditating a while over the strings under my silent scrutiny inquired, airily:""What are you always scribbling there, if it's fair to ask?""",9798629030461,False,False,77,N/A,en,No Image,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=0_2PzQEACAAJ&dq=fiction&hl=&source=gbs_api,2020,N/A
54bd0c29-dcbd-42dc-ad81-e74c332b46a6,fiction,Peter and Wendy,N/A,James Matthew Barrie,"'All children, except one, grow up.' Mrs Darling half-remembers Peter Pan from her own childhood; he is an insubstantial figure with a baby's laugh and a habit of blowing out stars. She believes him to be imaginary - until he leaves his shadow in her children's nursery. Accompanied by a foul-mouthed fairy, Peter is in search of good stories, and upon learning that the eldest Darling girl, Wendy, knows a great many, he lures her and her two brothers back to the island of Neverland. There, the dreams and imaginings of childhood become real. Lost boys, pirates and warring Indians populate the shifting landscape, which suddenly seems darker and more frightening without the bedside lamps of home. Adapted by J. M. Barrie (1860-1937) from his most famous play, this novelised and illustrated version of the story was first published in 1911.","110806034X, 9781108060349",False,False,0,Literary Criticism,en,http://books.google.com/books/content?id=fDldmgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=fDldmgEACAAJ&dq=fiction&hl=&source=gbs_api,2013,Cambridge University Press
987fff13-f692-42b5-8e7c-d50248c3ddcc,fiction,The Blazing World Illustrated,N/A,Margaret Cavendish,"The Blazing World, is a 1666 work of prose fiction by the English writer Margaret Cavendish, the Duchess of Newcastle. Feminist critic Dale Spender calls it a forerunner of science fiction. It can also be read as a utopian work",9798580222363,False,False,138,N/A,en,http://books.google.com/books/content?id=KScczgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=KScczgEACAAJ&dq=fiction&hl=&source=gbs_api,2020,Independently Published
98462e65-c836-4e6e-b243-c00fba017e2a,fiction,Fight the Tide,Shifter Gay Romance,Keira Andrews,"Adrift in a post-apocalyptic world, they only have each other. Is it enough? A virus that turns the infected into zombie-like killers spreads through a burning world thrown into lawless chaos. Lovers Parker and Adam have escaped to the open sea when they hear a message over the airwaves from a place called Salvation Island—a supposed safe haven. Orphaned as a child, werewolf Adam has always longed for a pack. He’s eager to investigate the island, but Parker doesn’t think for a nanosecond that the voice on the radio can be believed. He doesn’t trust anyone but Adam and is determined to keep it that way. They don’t need anyone else complicating their struggle to survive. Or do they? Danger on the high seas can surface in a heartbeat, and if Parker and Adam aren’t careful, the current will drag them under. This gay romance from Keira Andrews is a dystopian adventure featuring a werewolf, his boyfriend, and their struggle to find their happy ending and a place to call home. Book two in the Kick at the Darkness m/m shifter romance series.","9781988260068, 198826006X",True,True,229,Fiction,en,http://books.google.com/books/content?id=1LktDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=1LktDwAAQBAJ&dq=fiction&hl=&source=gbs_api,2017,Keira Andrews
75b86b3a-3c41-439d-a1d7-1da6d8736eff,fiction,Elizabeth is Missing,N/A,Emma Healey,"When Maud, an aging grandmother who is slowly losing her memory, is convinced that her best friend Elizabeth is missing and in terrible danger, she becomes obsessed with saving her beloved friend despite the fact that no one believes her.","1410472795, 9781410472793",False,False,0,Dementia,en,http://books.google.com/books/content?id=J6WGoAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=J6WGoAEACAAJ&dq=fiction&hl=&source=gbs_api,2014,N/A
2e4cfb05-1645-4af9-9950-657d77b10fc4,fiction,The Economy of Light,N/A,Jack Dann,No Description,"1905834284, 9781905834280",False,False,92,Alternative histories (Fiction),en,http://books.google.com/books/content?id=CqRpPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=CqRpPgAACAAJ&dq=fiction&hl=&source=gbs_api,2008,N/A
5772324a-dcbf-4189-9d8f-901ae385f79c,fiction,Tales from Margaritaville,Fictional Facts and Factual Fictions,Jimmy Buffett,No Description,OCLC:1036890451,False,False,240,"Short stories, American",en,No Image,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=uZg9zwEACAAJ&dq=fiction&hl=&source=gbs_api,1993,N/A
e8d1cc95-7dd1-4844-bbaf-724aa2b9379d,fiction,The Willows Illustrated,N/A,Algernon Blackwood,"""The Willows"" is a novella by English author Algernon Blackwood, originally published as part of his 1907 collection The Listener and Other Stories. It is one of Blackwood's best known works and has been influential on a number of later writers. Horror author H.P. Lovecraft considered it to be the finest supernatural tale in English literature.[1] ""The Willows"" is an example of early modern horror and is connected within the literary tradition of weird fiction.",9798585313233,False,False,78,N/A,en,http://books.google.com/books/content?id=B1ggzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=B1ggzgEACAAJ&dq=fiction&hl=&source=gbs_api,2020,N/A
a7f3d965-a6cc-4953-bf65-c969926e6d52,fiction,Mr Justice Maxell Illustrated,N/A,Edgar Wallace,"When Cartwright and Maxell visit the theater in Tangiers, Cartwright boldly liberates the Irish singer Miss O'Grady from her infamous surroundings, so angering the theater owner's son and the Spaniard Jose Ferreria. Then the news from El Mograb is good, so Cartwright leaves to arrange the necessary finance. In the Crown room of ...",9798666414552,False,False,209,N/A,en,No Image,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=SjYqzgEACAAJ&dq=fiction&hl=&source=gbs_api,2020,N/A
e6eefe6e-778c-494b-b2ca-2162a584317c,fiction,Dead Men's Money Annotated,N/A,Joseph Smith Fletcher,"Dead Men's Money is a true classic of the murder mystery genre. Written by J. S. Fletcher, one of the most prolific, leading writers of the Golden Age of detective fiction and first published in 1920, the novel still enjoys great popularity among fans of quick-paced stories that involve complicated mysteries and pure-hearted amateur investigators. The narrator of the story is a young man called Hugh Moneylaws, a clerk in the office of a lawyer called Mr. Lindsey in Berwick-Upon-Tweed, a small and quiet town on the border between England and Scotland. Hugh is on an errand that he undertakes from a mysterious lodger in his mother's boarding house in order to supplement his salary when he comes across a dead body - the first in the line of many, the story featuring a high body count. As the investigation goes on, Hugh travels to all sorts of places by train, by ship and other vehicles and gets into all sorts of dangerous situations that he manages to escape miraculously, very often with the help of his employer who is also the brains behind the entire investigation.The mystery is complicated, but also predictable to a certain extent. However, that does not make the novel less enjoyable - the plot comes with beautiful, remote places, closely-knit communities that have their own rules and laws, excellently-penned characters, principal and minor alike, lots of humorous events and adventures that will make the reader laugh out loud and a romantic story line that makes it all even more exciting.",9798704511281,False,False,274,N/A,en,http://books.google.com/books/content?id=N2M2zgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=N2M2zgEACAAJ&dq=fiction&hl=&source=gbs_api,2021,N/A
2f58e64d-bf1b-4a2c-9199-991738d61468,fiction,The Lavender Keeper,N/A,Fiona McIntosh,"Lavender farmer Luc Bonet is raised by a wealthy Jewish family in the foothills of the French Alps. When the Second World War breaks out he joins the French Resistance, leaving behind his family's fortune, their home overrun by soldiers, their lavender fields in disarray. Lisette Forestier is on a mission of her own: to work her way into the heart of a senior German officer - and to bring down the Reich in any way she can. What Luc and Lisette hadn't counted on was meeting each other. When they come together at the height of the Paris occupation, German traitors are plotting to change the course of history. But who, if anyone, can be trusted? As Luc and Lisette's emotions threaten to betray them, their love may prove the greatest risk of all. 'An enthralling, evocative read.' Woman's Day 'McIntosh writes a cracking tale that plunges you right into the heart of occupied Paris, the London Blitz and the rugged beauty of the South of France . . . it's hard not to keep turning the pages.' Indaily","0143568434, 9780143568438",False,False,496,Historical fiction,en,http://books.google.com/books/content?id=7il2NAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=7il2NAEACAAJ&dq=fiction&hl=&source=gbs_api,2013,Penguin Books
10a5f287-db3e-4910-84ab-d5983d4048a4,fiction,Sacred Games,N/A,Vikram Chandra,"An epic of exceptional richness and power, ""Sacred Games"" draws the reader deep into the life of the compelling Sikh detective Sartaj Singh--and into the criminal underworld of Ganesh Gaitonde, the most wanted gangster in India.","0002008513, 9780002008518",False,False,916,Gangsters,en,No Image,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=j0qRPwAACAAJ&dq=fiction&hl=&source=gbs_api,2007,HarperCollins Publishers
c00ba1fa-4091-40cf-8883-7a0b2caf2cf7,fiction,Malcolm & Juliet,N/A,Bernard Beckett,"Beckett's young adult novel not only tackles the contentious subject of sex, it undercuts, subverts and sends it up as well. Sex was a latecomer to the party of Malcolm’s life, and when it did arrive, it didn't come dressed in any of the usual guises. With the mind of a science nerd and the body of a teenager, sixteen-year-old Malcolm embarks upon his latest documentary project: sex. Join Malcolm on his hilarious journey, as he meets the cast of idiosyncratic characters who will take him a little closer to the centre of life’s mystery. Will Charlotte find true love? Will Kevin get his guy? How did Juliet lose her virginity and will the school principal succeed in having Malcolm’s project banned?","9781775530602, 1775530604",True,True,117,Juvenile Fiction,en,http://books.google.com/books/content?id=h_OcDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=h_OcDwAAQBAJ&dq=fiction&hl=&source=gbs_api,2012,Penguin Random House New Zealand Limited
94fba9e3-bf04-437a-825c-2c5d0704db98,fiction,I'll Wait For You Till The Eternity,N/A,Rihan khalyani,"The love story which starts in early 90s, mainly revolves around three characters Aamir, Shikha and Samaira. Aamir an MBA graduate resides in Delhi. He was separated from his girlfriend Shikha during the Lucknow riots three years ago. Aamir has been living a depressed and a stressful life for the past three years. His best friend Bhaskar insists him to see a psychologist. Aamir decides to consult a psychologist named Samaira who is also a friend of Bhaskar. On the other side his mother wants him to get married and settle down in life. She is unaware about his affair with Shikha. Aamir shares his past with Samaira during his counselling sessions. After spending a lot of time with Aamir, Samaira also starts feeling strongly for him. She starts leaning towards him. Samaira also try to convince him to move on before sharing her feelings with him, but Aamir stays adamant on his decision and continues his search for Shikha. Aamir’s quest for Shikha guides him to beautiful Ladakh. But could Aamir find Shikha? What exactly happened during the riots that separated the true lovers? All the answers unfold in the climax of an enchanting love story.","9788194544524, 8194544521",False,True,192,Fiction,en,http://books.google.com/books/content?id=uhwuEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,https://play.google.com/store/books/details?id=uhwuEAAAQBAJ&source=gbs_api,2020,Redgrab Books pvt ltd
fdf03b8a-feb4-445d-a535-fd41b03ea200,fiction,Margaret Atwood's Power,"Mirrors, Reflections and Images in Select Fiction and Poetry",Shannon Eileen Hengen,"In this incisive feminist analysis, Hengen provides a psychoanalytic overview examining Atwood's treatment of women and power. Who has power? Who abuses it? By looking at Atwood's characters, Hengen raises some important issues about her writing. In her novels and poems Atwood's protagonists explore the lives of their mothers and grandmothers in order to reflect on the lives and struggles we confront today. Using the metaphor of narcissism-both progressive and regressive-and the mirror imagery that threads through Atwood's work, Hengen gives a feminist reading to the work of this important Canadian author. Hengen argues that the connections women are able to make between their own lives today and the lives portrayed by Atwood account in part for the writer's wide popularity. An important contribution, Margaret Atwood's Power is a thought-provoking evaluation which provides new insights into Margaret Atwood's work and popularity.",STANFORD:36105016200631,False,False,188,Literary Criticism,en,http://books.google.com/books/content?id=3r4gAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,N/A,N/A,N/A,N/A,False,N/A,N/A,N/A,N/A,http://books.google.co.in/books?id=3r4gAQAAIAAJ&dq=fiction&hl=&source=gbs_api,1993,Sumach Press
